f0,f1,f2,f3,f4,f5,action
0,1,0,1.0,0.5173328914225714,1.0,0
0,1,0,1.0,0.5138138308141253,1.0,0
0,1,0,1.0,0.5102967899970673,1.0,0
0,1,0,1.0,0.5067817862762553,1.0,0
0,1,0,1.0,0.5032688367871772,1.0,0
0,1,0,1.0,0.49975795849808435,1.0,0
0,1,0,1.0,0.49624916821207765,1.0,0
0,1,0,1.0,0.4927424825691459,1.0,0
0,1,0,1.0,0.4892379180481596,1.0,0
0,1,0,1.0,0.48573549096882135,1.0,0
0,1,0,1.0,0.4822352174935728,1.0,0
0,1,0,1.0,0.47873711362946103,1.0,0
0,1,0,1.0,0.4752411952299657,1.0,0
0,1,0,1.0,0.4717474779967866,1.0,0
0,1,0,1.0,0.4682559774815944,1.0,0
0,1,0,1.0,0.464766709087745,1.0,0
0,1,0,1.0,0.46127968807195857,1.0,0
0,1,0,1.0,0.4577949295459648,1.0,0
0,1,0,1.0,0.45431244847811475,1.0,0
0,1,0,1.0,0.4508322596949606,1.0,0
0,1,0,1.0,0.44735437788280397,1.0,0
0,1,0,1.0,0.44387881758921466,1.0,0
0,1,0,1.0,0.44040559322451944,1.0,0
0,1,0,1.0,0.43693471906326176,1.0,0
0,1,0,1.0,0.4334662092456349,1.0,0
0,1,0,1.0,0.43000007777888705,1.0,0
0,1,0,1.0,0.42653633853870065,1.0,0
0,1,0,1.0,0.42307500527054637,1.0,0
0,1,0,1.0,0.4196160915910115,1.0,0
0,1,0,1.0,0.4161596109891053,1.0,0
0,1,0,1.0,0.41270557682754,1.0,0
0,1,0,1.0,0.4092540023439894,1.0,0
0,1,0,1.0,0.40580490065232516,1.0,0
0,1,0,1.0,0.40235828474383106,1.0,0
0,1,0,1.0,0.39891416748839725,1.0,0
0,1,0,1.0,0.39547256163569255,1.0,0
0,1,0,1.0,0.3920334798163179,1.0,0
0,1,0,1.0,0.38859693454293975,1.0,0
0,1,0,1.0,0.3851629382114051,1.0,0
0,1,0,1.0,0.38173150310183707,1.0,0
0,1,0,1.0,0.3783026413797135,1.0,0
0,1,0,1.0,0.3748763650969271,1.0,0
0,1,0,1.0,0.3714526861928295,1.0,0
0,1,0,1.0,0.3680316164952576,1.0,0
0,1,0,1.0,0.3646131677215441,1.0,0
0,1,0,1.0,0.36119735147951215,1.0,0
0,1,0,1.0,0.3577841792684547,1.0,0
0,1,0,1.0,0.35437366248009805,1.0,0
0,1,0,1.0,0.3509658123995517,1.0,0
0,1,0,1.0,0.3475606402062426,1.0,0
0,1,0,1.0,0.34415815697483626,1.0,0
0,1,0,1.0,0.3407583736761437,1.0,0
0,1,0,1.0,0.3373613011780153,1.0,0
0,1,0,1.0,0.333966950246221,1.0,0
0,1,0,1.0,0.3305753315453183,1.0,0
0,1,0,1.0,0.32718645563950755,1.0,0
0,1,0,1.0,0.3238003329934746,1.0,0
0,1,0,1.0,0.32041697397322244,1.0,0
0,1,0,1.0,0.3170363888468904,1.0,0
0,1,0,1.0,0.3136585877855619,1.0,0
0,1,0,1.0,0.3102835808640617,1.0,0
0,1,0,1.0,0.30691137806174174,1.0,0
0,1,0,1.0,0.30354198926325643,1.0,0
0,1,0,1.0,0.3001754242593273,1.0,0
0,1,0,1.0,0.296811692747498,1.0,0
0,1,0,1.0,0.2934508043328786,1.0,0
0,1,0,1.0,0.2900927685288807,1.0,0
0,1,0,1.0,0.28673759475794264,1.0,0
0,1,0,1.0,0.28338529235224547,1.0,0
0,1,0,1.0,0.2800358705544196,1.0,0
0,1,0,1.0,0.2766893385182427,1.0,0
0,1,0,1.0,0.2733457053093288,1.0,0
0,1,0,1.0,0.2700049799058082,1.0,0
0,1,0,1.0,0.2666671711990002,1.0,0
0,1,0,1.0,0.263332287994076,1.0,0
0,1,0,1.0,0.2600003390107147,1.0,0
0,1,0,1.0,0.25667133288375077,1.0,0
0,1,0,1.0,0.2533452781638142,1.0,0
0,1,0,1.0,0.2500221833179624,1.0,0
0,1,0,1.0,0.24670205673030515,1.0,0
0,1,0,1.0,0.24338490670262206,1.0,0
0,1,0,1.0,0.2400707414549728,1.0,0
0,1,0,1.0,0.23675956912630033,1.0,0
0,1,0,1.0,0.2334513977750273,1.0,0
0,1,0,1.0,0.2301462353796453,1.0,0
0,1,0,1.0,0.2268440898392982,1.0,0
0,1,0,1.0,0.22354496897435813,1.0,0
0,1,0,1.0,0.22024888052699562,1.0,0
0,1,0,1.0,0.21695583216174336,1.0,0
0,1,0,1.0,0.21366583146605342,1.0,0
0,1,0,1.0,0.21037888595084916,1.0,0
0,1,0,1.0,0.2070950030510704,1.0,0
0,1,0,1.0,0.2038141901262132,1.0,0
0,1,0,1.0,0.20053645446086393,1.0,0
0,1,0,1.0,0.19726180326522752,1.0,0
0,1,0,1.0,0.19399024367565035,1.0,0
0,1,0,1.0,0.19072178275513757,1.0,0
0,1,0,1.0,0.1874564274938652,1.0,0
0,1,0,1.0,0.18419418480968697,1.0,0
0,1,0,1.0,0.18093506154863598,1.0,0
0,1,0,1.0,0.17767906448542126,1.0,0
0,1,0,1.0,0.17442620032391953,1.0,0
0,1,0,1.0,0.17117647569766187,1.0,0
0,1,0,1.0,0.16792989717031576,1.0,0
0,1,0,1.0,0.16468647123616217,1.0,0
0,1,0,1.0,0.16144620432056841,1.0,0
0,1,0,1.0,0.1582091027804559,1.0,0
0,1,0,1.0,0.15497517290476384,1.0,0
0,1,0,1.0,0.15174442091490828,1.0,0
0,1,0,1.0,0.14851685296523692,1.0,0
0,1,0,1.0,0.1452924751434797,1.0,0
0,1,0,1.0,0.1420712934711949,1.0,0
0,1,0,1.0,0.13885331390421146,1.0,0
0,1,0,1.0,0.13563854233306705,1.0,0
0,1,0,1.0,0.1324269845834421,1.0,0
